Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
1        -2.535816e+01  -1.631196e+01  9.046196e+00   3.57e-01  
2        -2.720885e+01  -2.157337e+01  5.635478e+00   2.07e-01  
3        -2.926387e+01  -2.632820e+01  2.935669e+00   1.00e-01  
4        -3.275837e+01  -2.706365e+01  5.694716e+00   1.74e-01  
5        -3.605813e+01  -2.909534e+01  6.962791e+00   1.93e-01  
6        -3.919905e+01  -3.174944e+01  7.449607e+00   1.90e-01  
7        -4.214308e+01  -3.427457e+01  7.868512e+00   1.87e-01  
8        -4.482464e+01  -3.662942e+01  8.195221e+00   1.83e-01  
9        -4.718261e+01  -3.874030e+01  8.442311e+00   1.79e-01  
10       -4.917549e+01  -4.058315e+01  8.592347e+00   1.75e-01  
11       -5.078699e+01  -4.207674e+01  8.710250e+00   1.72e-01  
12       -5.202613e+01  -4.327470e+01  8.751425e+00   1.68e-01  
13       -5.292362e+01  -4.412274e+01  8.800878e+00   1.66e-01  
14       -5.352575e+01  -4.473293e+01  8.792826e+00   1.64e-01  
15       -5.388685e+01  -4.515290e+01  8.733955e+00   1.62e-01  
16       -5.406179e+01  -4.534191e+01  8.719885e+00   1.61e-01  
17       -5.409953e+01  -4.544056e+01  8.658971e+00   1.60e-01  
18       -5.403859e+01  -4.541866e+01  8.619935e+00   1.60e-01  
19       -5.390447e+01  -4.535900e+01  8.545464e+00   1.59e-01  
20       -5.370901e+01  -4.521288e+01  8.496135e+00   1.58e-01  
21       -5.345122e+01  -4.497753e+01  8.473690e+00   1.59e-01  
22       -5.311890e+01  -4.473810e+01  8.380796e+00   1.58e-01  
23       -5.269096e+01  -4.432515e+01  8.365814e+00   1.59e-01  
24       -5.213981e+01  -4.384283e+01  8.296982e+00   1.59e-01  
25       -5.143391e+01  -4.334025e+01  8.093663e+00   1.57e-01  
26       -5.054024e+01  -4.258048e+01  7.959751e+00   1.57e-01  
27       -4.942668e+01  -4.167684e+01  7.749835e+00   1.57e-01  
28       -4.806432e+01  -4.065956e+01  7.404757e+00   1.54e-01  
29       -4.642951e+01  -3.927649e+01  7.153019e+00   1.54e-01  
30       -4.450573e+01  -3.767336e+01  6.832378e+00   1.54e-01  
31       -4.228517e+01  -3.587871e+01  6.406467e+00   1.52e-01  
32       -3.977008e+01  -3.387005e+01  5.900035e+00   1.48e-01  
33       -3.697384e+01  -3.154732e+01  5.426516e+00   1.47e-01  
34       -3.392180e+01  -2.905316e+01  4.868643e+00   1.44e-01  
35       -3.065194e+01  -2.634682e+01  4.305115e+00   1.40e-01  
36       -2.721522e+01  -2.351694e+01  3.698285e+00   1.36e-01  
37       -2.367552e+01  -2.054622e+01  3.129306e+00   1.32e-01  
38       -2.010890e+01  -1.756210e+01  2.546807e+00   1.27e-01  
39       -1.660179e+01  -1.464887e+01  1.952929e+00   1.18e-01  
40       -1.324777e+01  -1.181964e+01  1.428124e+00   1.08e-01  
41       -1.014251e+01  -9.147454e+00  9.950592e-01   9.81e-02  
42       -7.377027e+00  -6.757731e+00  6.192960e-01   8.39e-02  
43       -5.029145e+00  -4.714158e+00  3.149861e-01   6.26e-02  
44       -3.153867e+00  -3.050594e+00  1.032722e-01   3.27e-02  
45       -1.772890e+00  -1.799450e+00  2.655968e-02   1.50e-02  
46       -8.637616e-01  -9.021787e-01  3.841712e-02   4.45e-02  
47       -3.500154e-01  -3.720670e-01  2.205161e-02   6.30e-02  
48       -9.793282e-02  -1.276239e-01  2.969111e-02   3.03e-01  
49       -1.804952e-02  2.026354e-03   2.007588e-02   1.11e+00  
50       -1.966972e-03  -3.500281e-02  3.303584e-02   1.68e+01  
51       -2.492885e+01  -1.993681e+01  4.992046e+00   2.00e-01  
52       -2.685998e+01  -2.661244e+01  2.475460e-01   9.22e-03  
53       -2.890042e+01  -3.262342e+01  3.723004e+00   1.29e-01  
54       -3.227454e+01  -3.351385e+01  1.239305e+00   3.84e-02  
55       -3.525808e+01  -3.568389e+01  4.258018e-01   1.21e-02  
56       -3.790759e+01  -3.855450e+01  6.469137e-01   1.71e-02  
57       -4.023588e+01  -4.116937e+01  9.334837e-01   2.32e-02  
58       -4.223263e+01  -4.346773e+01  1.235099e+00   2.92e-02  
59       -4.388559e+01  -4.545365e+01  1.568064e+00   3.57e-02  
60       -4.519411e+01  -4.706828e+01  1.874164e+00   4.15e-02  
61       -4.617448e+01  -4.835763e+01  2.183151e+00   4.73e-02  
62       -4.685947e+01  -4.930102e+01  2.441555e+00   5.21e-02  
63       -4.729421e+01  -4.994432e+01  2.650108e+00   5.60e-02  
64       -4.753007e+01  -5.040409e+01  2.874024e+00   6.05e-02  
65       -4.761813e+01  -5.060955e+01  2.991418e+00   6.28e-02  
66       -4.760352e+01  -5.065571e+01  3.052187e+00   6.41e-02  
67       -4.752136e+01  -5.066971e+01  3.148350e+00   6.63e-02  
68       -4.739464e+01  -5.054275e+01  3.148117e+00   6.64e-02  
69       -4.723371e+01  -5.042139e+01  3.187679e+00   6.75e-02  
70       -4.703718e+01  -5.025547e+01  3.218290e+00   6.84e-02  
71       -4.679342e+01  -4.994555e+01  3.152136e+00   6.74e-02  
72       -4.648258e+01  -4.967086e+01  3.188281e+00   6.86e-02  
73       -4.607870e+01  -4.926285e+01  3.184150e+00   6.91e-02  
74       -4.555183e+01  -4.872408e+01  3.172256e+00   6.96e-02  
75       -4.487016e+01  -4.803660e+01  3.166440e+00   7.06e-02  
76       -4.400210e+01  -4.713644e+01  3.134339e+00   7.12e-02  
77       -4.291837e+01  -4.605749e+01  3.139118e+00   7.31e-02  
78       -4.159391e+01  -4.470141e+01  3.107500e+00   7.47e-02  
79       -4.000975e+01  -4.305537e+01  3.045621e+00   7.61e-02  
80       -3.815463e+01  -4.122907e+01  3.074437e+00   8.06e-02  
81       -3.602643e+01  -3.899813e+01  2.971697e+00   8.25e-02  
82       -3.363329e+01  -3.652554e+01  2.892253e+00   8.60e-02  
83       -3.099453e+01  -3.380229e+01  2.807758e+00   9.06e-02  
84       -2.814133e+01  -3.087835e+01  2.737019e+00   9.73e-02  
85       -2.511711e+01  -2.774427e+01  2.627162e+00   1.05e-01  
86       -2.197751e+01  -2.446974e+01  2.492233e+00   1.13e-01  
87       -1.878984e+01  -2.109880e+01  2.308960e+00   1.23e-01  
88       -1.563149e+01  -1.779812e+01  2.166628e+00   1.39e-01  
89       -1.258713e+01  -1.452066e+01  1.933529e+00   1.54e-01  
90       -9.744246e+00  -1.140111e+01  1.656869e+00   1.70e-01  
91       -7.187069e+00  -8.664352e+00  1.477283e+00   2.06e-01  
92       -4.989167e+00  -6.137690e+00  1.148523e+00   2.30e-01  
93       -3.205177e+00  -4.134730e+00  9.295532e-01   2.90e-01  
94       -1.862333e+00  -2.541312e+00  6.789791e-01   3.65e-01  
95       -9.521399e-01  -1.416347e+00  4.642071e-01   4.88e-01  
96       -4.223402e-01  -7.113413e-01  2.890011e-01   6.84e-01  
97       -1.697310e-01  -2.832676e-01  1.135366e-01   6.69e-01  
98       -3.701513e-02  -7.209019e-02  3.507506e-02   9.48e-01  
99       -7.837981e-03  1.095759e-02   1.879557e-02   2.40e+00  
100      1.137628e-02   1.619264e-02   4.816359e-03   4.23e-01  
101      -2.425976e+01  -2.208159e+01  2.178176e+00   8.98e-02  
102      -2.612086e+01  -2.951144e+01  3.390581e+00   1.30e-01  
103      -2.803113e+01  -3.618365e+01  8.152525e+00   2.91e-01  
104      -3.114823e+01  -3.701108e+01  5.862853e+00   1.88e-01  
105      -3.372418e+01  -3.912628e+01  5.402097e+00   1.60e-01  
106      -3.583289e+01  -4.175832e+01  5.925430e+00   1.65e-01  
107      -3.752888e+01  -4.400666e+01  6.477781e+00   1.73e-01  
108      -3.884951e+01  -4.587240e+01  7.022886e+00   1.81e-01  
109      -3.982748e+01  -4.736219e+01  7.534708e+00   1.89e-01  
110      -4.049998e+01  -4.846906e+01  7.969076e+00   1.97e-01  
111      -4.091201e+01  -4.927446e+01  8.362444e+00   2.04e-01  
112      -4.111495e+01  -4.979702e+01  8.682068e+00   2.11e-01  
113      -4.116227e+01  -5.007145e+01  8.909176e+00   2.16e-01  
114      -4.110442e+01  -5.020582e+01  9.101406e+00   2.21e-01  
115      -4.098421e+01  -5.017598e+01  9.191769e+00   2.24e-01  
116      -4.083377e+01  -5.012658e+01  9.292816e+00   2.28e-01  
117      -4.067309e+01  -5.001311e+01  9.340018e+00   2.30e-01  
118      -4.051020e+01  -4.984449e+01  9.334292e+00   2.30e-01  
119      -4.034224e+01  -4.969203e+01  9.349797e+00   2.32e-01  
120      -4.015714e+01  -4.944440e+01  9.287267e+00   2.31e-01  
121      -3.993546e+01  -4.919066e+01  9.255198e+00   2.32e-01  
122      -3.965227e+01  -4.886097e+01  9.208706e+00   2.32e-01  
123      -3.927882e+01  -4.843863e+01  9.159811e+00   2.33e-01  
124      -3.878437e+01  -4.786489e+01  9.080521e+00   2.34e-01  
125      -3.813786e+01  -4.710392e+01  8.966056e+00   2.35e-01  
126      -3.730975e+01  -4.612423e+01  8.814480e+00   2.36e-01  
127      -3.627373e+01  -4.491199e+01  8.638253e+00   2.38e-01  
128      -3.500862e+01  -4.343639e+01  8.427772e+00   2.41e-01  
129      -3.349997e+01  -4.170742e+01  8.207450e+00   2.45e-01  
130      -3.174160e+01  -3.964294e+01  7.901339e+00   2.49e-01  
131      -2.973684e+01  -3.729614e+01  7.559300e+00   2.54e-01  
132      -2.749958e+01  -3.469840e+01  7.198818e+00   2.62e-01  
133      -2.505496e+01  -3.180146e+01  6.746497e+00   2.69e-01  
134      -2.243981e+01  -2.866908e+01  6.229268e+00   2.78e-01  
135      -1.970273e+01  -2.538845e+01  5.685720e+00   2.89e-01  
136      -1.690357e+01  -2.203520e+01  5.131623e+00   3.04e-01  
137      -1.411215e+01  -1.870067e+01  4.588515e+00   3.25e-01  
138      -1.140564e+01  -1.537755e+01  3.971916e+00   3.48e-01  
139      -8.864518e+00  -1.223650e+01  3.371985e+00   3.80e-01  
140      -6.566931e+00  -9.336565e+00  2.769634e+00   4.22e-01  
141      -4.581770e+00  -6.776983e+00  2.195213e+00   4.79e-01  
142      -2.961225e+00  -4.638277e+00  1.677053e+00   5.66e-01  
143      -1.733539e+00  -2.952971e+00  1.219432e+00   7.03e-01  
144      -8.965391e-01  -1.680894e+00  7.843545e-01   8.75e-01  
145      -4.118377e-01  -9.090418e-01  4.972041e-01   1.21e+00  
146      -1.991329e-01  -4.916001e-01  2.924672e-01   1.47e+00  
147      -1.300647e-01  -2.700181e-01  1.399534e-01   1.08e+00  
148      -2.302896e-02  -3.663445e-03  1.936552e-02   8.41e-01  
149      1.240819e-02   8.261304e-02   7.020485e-02   5.66e+00  
150      8.951908e-02   1.144581e-01   2.493901e-02   2.79e-01  
151      -2.280687e+01  -1.859780e+01  4.209069e+00   1.85e-01  
152      -2.456660e+01  -2.490476e+01  3.381613e-01   1.38e-02  
153      -2.625942e+01  -3.043364e+01  4.174214e+00   1.59e-01  
154      -2.895629e+01  -3.101893e+01  2.062632e+00   7.12e-02  
155      -3.085696e+01  -3.217180e+01  1.314842e+00   4.26e-02  
156      -3.207872e+01  -3.349366e+01  1.414946e+00   4.41e-02  
157      -3.275543e+01  -3.426815e+01  1.512721e+00   4.62e-02  
158      -3.300286e+01  -3.456868e+01  1.565820e+00   4.74e-02  
159      -3.292325e+01  -3.459507e+01  1.671817e+00   5.08e-02  
160      -3.261071e+01  -3.435254e+01  1.741830e+00   5.34e-02  
161      -3.215184e+01  -3.391166e+01  1.759816e+00   5.47e-02  
162      -3.162312e+01  -3.340588e+01  1.782765e+00   5.64e-02  
163      -3.108718e+01  -3.291458e+01  1.827392e+00   5.88e-02  
164      -3.058993e+01  -3.239160e+01  1.801669e+00   5.89e-02  
165      -3.015950e+01  -3.197848e+01  1.818978e+00   6.03e-02  
166      -2.980723e+01  -3.165064e+01  1.843413e+00   6.18e-02  
167      -2.953016e+01  -3.133461e+01  1.804446e+00   6.11e-02  
168      -2.931417e+01  -3.113046e+01  1.816291e+00   6.20e-02  
169      -2.913709e+01  -3.097391e+01  1.836822e+00   6.30e-02  
170      -2.897140e+01  -3.080730e+01  1.835898e+00   6.34e-02  
171      -2.878639e+01  -3.059864e+01  1.812243e+00   6.30e-02  
172      -2.854973e+01  -3.034368e+01  1.793954e+00   6.28e-02  
173      -2.822876e+01  -3.000637e+01  1.777612e+00   6.30e-02  
174      -2.779165e+01  -2.955140e+01  1.759751e+00   6.33e-02  
175      -2.720861e+01  -2.894475e+01  1.736138e+00   6.38e-02  
176      -2.645322e+01  -2.816389e+01  1.710662e+00   6.47e-02  
177      -2.550389e+01  -2.716233e+01  1.658440e+00   6.50e-02  
178      -2.434541e+01  -2.593912e+01  1.593706e+00   6.55e-02  
179      -2.297047e+01  -2.452072e+01  1.550253e+00   6.75e-02  
180      -2.138093e+01  -2.283133e+01  1.450406e+00   6.78e-02  
181      -1.958893e+01  -2.102847e+01  1.439538e+00   7.35e-02  
182      -1.761764e+01  -1.892663e+01  1.308989e+00   7.43e-02  
183      -1.550168e+01  -1.666385e+01  1.162177e+00   7.50e-02  
184      -1.328714e+01  -1.440719e+01  1.120052e+00   8.43e-02  
185      -1.103106e+01  -1.202225e+01  9.911957e-01   8.99e-02  
186      -8.799967e+00  -9.704791e+00  9.048240e-01   1.03e-01  
187      -6.667224e+00  -7.429626e+00  7.624020e-01   1.14e-01  
188      -4.708612e+00  -5.333261e+00  6.246486e-01   1.33e-01  
189      -2.996174e+00  -3.473719e+00  4.775450e-01   1.59e-01  
190      -1.590707e+00  -2.014556e+00  4.238491e-01   2.66e-01  
191      -5.339293e-01  -8.330699e-01  2.991405e-01   5.60e-01  
192      1.584332e-01   -4.550020e-02  2.039334e-01   1.29e+00  
193      5.016758e-01   3.946552e-01   1.070205e-01   2.13e-01  
194      5.451939e-01   4.327430e-01   1.124509e-01   2.06e-01  
195      3.746123e-01   3.314708e-01   4.314151e-02   1.15e-01  
196      1.147008e-01   1.130720e-01   1.628806e-03   1.42e-02  
197      -6.542158e-02  -6.176197e-02  3.659617e-03   5.59e-02  
198      5.540090e-02   1.875160e-01   1.321151e-01   2.38e+00  
199      1.345678e-01   2.767738e-01   1.422060e-01   1.06e+00  
200      3.375697e-01   3.860387e-01   4.846896e-02   1.44e-01  
201      -2.070188e+01  -1.627086e+01  4.431013e+00   2.14e-01  
202      -2.212713e+01  -2.167352e+01  4.536093e-01   2.05e-02  
203      -2.341773e+01  -2.617208e+01  2.754349e+00   1.18e-01  
204      -2.540981e+01  -2.612162e+01  7.118074e-01   2.80e-02  
205      -2.655880e+01  -2.659707e+01  3.826921e-02   1.44e-03  
206      -2.698676e+01  -2.702323e+01  3.646211e-02   1.35e-03  
207      -2.685486e+01  -2.684638e+01  8.475338e-03   3.16e-04  
208      -2.632380e+01  -2.633383e+01  1.003704e-02   3.81e-04  
209      -2.553941e+01  -2.552510e+01  1.431168e-02   5.60e-04  
210      -2.462804e+01  -2.461598e+01  1.205912e-02   4.90e-04  
211      -2.369317e+01  -2.370104e+01  7.868171e-03   3.32e-04  
212      -2.281275e+01  -2.281115e+01  1.595302e-03   6.99e-05  
213      -2.203822e+01  -2.205073e+01  1.251071e-02   5.68e-04  
214      -2.139624e+01  -2.138787e+01  8.368916e-03   3.91e-04  
215      -2.089254e+01  -2.088773e+01  4.816621e-03   2.31e-04  
216      -2.051701e+01  -2.052690e+01  9.892965e-03   4.82e-04  
217      -2.024872e+01  -2.024357e+01  5.151659e-03   2.54e-04  
218      -2.006026e+01  -2.007475e+01  1.449148e-02   7.22e-04  
219      -1.992081e+01  -1.988110e+01  3.970982e-02   1.99e-03  
220      -1.979826e+01  -1.978462e+01  1.364131e-02   6.89e-04  
221      -1.966033e+01  -1.965846e+01  1.871492e-03   9.52e-05  
222      -1.947532e+01  -1.945665e+01  1.867268e-02   9.59e-04  
223      -1.921256e+01  -1.916244e+01  5.011581e-02   2.61e-03  
224      -1.884300e+01  -1.881013e+01  3.286647e-02   1.74e-03  
225      -1.834009e+01  -1.832109e+01  1.899936e-02   1.04e-03  
226      -1.768096e+01  -1.768769e+01  6.732023e-03   3.81e-04  
227      -1.684792e+01  -1.686682e+01  1.890135e-02   1.12e-03  
228      -1.583013e+01  -1.580859e+01  2.153565e-02   1.36e-03  
229      -1.462526e+01  -1.460079e+01  2.447236e-02   1.67e-03  
230      -1.324089e+01  -1.323556e+01  5.329285e-03   4.02e-04  
231      -1.169560e+01  -1.171172e+01  1.612099e-02   1.38e-03  
232      -1.001963e+01  -1.000403e+01  1.559626e-02   1.56e-03  
233      -8.255017e+00  -8.256724e+00  1.707073e-03   2.07e-04  
234      -6.455168e+00  -6.450688e+00  4.480351e-03   6.94e-04  
235      -4.683476e+00  -4.673604e+00  9.872129e-03   2.11e-03  
236      -3.010637e+00  -3.011524e+00  8.873248e-04   2.95e-04  
237      -1.510088e+00  -1.527307e+00  1.721922e-02   1.14e-02  
238      -2.513620e-01  -2.487122e-01  2.649740e-03   1.05e-02  
239      7.082043e-01   7.118142e-01   3.609948e-03   5.10e-03  
240      1.332117e+00   1.303044e+00   2.907311e-02   2.18e-02  
241      1.611929e+00   1.619019e+00   7.089743e-03   4.40e-03  
242      1.571480e+00   1.624507e+00   5.302627e-02   3.37e-02  
243      1.267802e+00   1.260967e+00   6.835237e-03   5.39e-03  
244      7.898920e-01   7.543040e-01   3.558806e-02   4.51e-02  
245      2.578798e-01   2.923371e-01   3.445728e-02   1.34e-01  
246      -1.745171e-01  -1.403077e-01  3.420937e-02   1.96e-01  
247      -3.120827e-01  -2.767720e-01  3.531073e-02   1.13e-01  
248      9.671698e-02   3.027417e-01   2.060247e-01   2.13e+00  
249      3.785618e-01   6.497030e-01   2.711412e-01   7.16e-01  
250      8.394474e-01   8.713832e-01   3.193588e-02   3.80e-02  
251      -1.780290e+01  -1.401924e+01  3.783664e+00   2.13e-01  
252      -1.884506e+01  -1.850957e+01  3.354906e-01   1.78e-02  
253      -1.970161e+01  -2.212531e+01  2.423694e+00   1.23e-01  
254      -2.096774e+01  -2.164791e+01  6.801707e-01   3.24e-02  
255      -2.140463e+01  -2.141745e+01  1.281410e-02   5.99e-04  
256      -2.117380e+01  -2.114298e+01  3.082773e-02   1.46e-03  
257      -2.045794e+01  -2.045131e+01  6.627228e-03   3.24e-04  
258      -1.944019e+01  -1.946131e+01  2.112259e-02   1.09e-03  
259      -1.828399e+01  -1.826302e+01  2.097905e-02   1.15e-03  
260      -1.712131e+01  -1.713847e+01  1.716041e-02   1.00e-03  
261      -1.604713e+01  -1.607110e+01  2.397010e-02   1.49e-03  
262      -1.511948e+01  -1.514191e+01  2.243240e-02   1.48e-03  
263      -1.436384e+01  -1.434837e+01  1.547434e-02   1.08e-03  
264      -1.378067e+01  -1.378478e+01  4.114959e-03   2.99e-04  
265      -1.335366e+01  -1.331013e+01  4.353288e-02   3.26e-03  
266      -1.305708e+01  -1.305117e+01  5.909159e-03   4.53e-04  
267      -1.286104e+01  -1.283459e+01  2.644606e-02   2.06e-03  
268      -1.273477e+01  -1.274165e+01  6.885058e-03   5.41e-04  
269      -1.264825e+01  -1.264232e+01  5.923901e-03   4.68e-04  
270      -1.257273e+01  -1.256640e+01  6.330863e-03   5.04e-04  
271      -1.248070e+01  -1.241706e+01  6.363899e-02   5.10e-03  
272      -1.234557e+01  -1.237350e+01  2.792342e-02   2.26e-03  
273      -1.214156e+01  -1.215648e+01  1.492557e-02   1.23e-03  
274      -1.184389e+01  -1.185712e+01  1.322820e-02   1.12e-03  
275      -1.142957e+01  -1.146378e+01  3.421132e-02   2.99e-03  
276      -1.087865e+01  -1.088659e+01  7.946381e-03   7.30e-04  
277      -1.017605e+01  -1.016863e+01  7.415843e-03   7.29e-04  
278      -9.313592e+00  -9.323194e+00  9.601347e-03   1.03e-03  
279      -8.292049e+00  -8.304240e+00  1.219087e-02   1.47e-03  
280      -7.122884e+00  -7.148868e+00  2.598481e-02   3.65e-03  
281      -5.829530e+00  -5.827927e+00  1.602295e-03   2.75e-04  
282      -4.448021e+00  -4.434432e+00  1.358871e-02   3.06e-03  
283      -3.026888e+00  -3.022564e+00  4.324540e-03   1.43e-03  
284      -1.626084e+00  -1.664768e+00  3.868401e-02   2.38e-02  
285      -3.144824e-01  -3.209188e-01  6.436416e-03   2.05e-02  
286      8.347007e-01   8.342704e-01   4.303228e-04   5.16e-04  
287      1.751037e+00   1.749549e+00   1.487590e-03   8.50e-04  
288      2.376263e+00   2.362018e+00   1.424488e-02   5.99e-03  
289      2.674377e+00   2.671102e+00   3.274258e-03   1.22e-03  
290      2.639998e+00   2.650522e+00   1.052411e-02   3.99e-03  
291      2.302632e+00   2.289264e+00   1.336824e-02   5.81e-03  
292      1.725910e+00   1.710669e+00   1.524133e-02   8.83e-03  
293      1.003091e+00   9.896085e-01   1.348288e-02   1.34e-02  
294      2.520636e-01   2.268462e-01   2.521742e-02   1.00e-01  
295      -3.861708e-01  -3.666592e-01  1.951163e-02   5.05e-02  
296      -7.423404e-01  -7.180497e-01  2.429067e-02   3.27e-02  
297      -6.056062e-01  -5.890124e-01  1.659378e-02   2.74e-02  
298      2.976053e-01   7.723720e-01   4.747667e-01   1.60e+00  
299      9.003492e-01   1.368613e+00   4.682639e-01   5.20e-01  
300      1.713911e+00   1.727973e+00   1.406207e-02   8.20e-03  
301      -1.431833e+01  -1.131220e+01  3.006138e+00   2.10e-01  
302      -1.500008e+01  -1.477119e+01  2.288989e-01   1.53e-02  
303      -1.546220e+01  -1.741136e+01  1.949156e+00   1.26e-01  
304      -1.608650e+01  -1.661533e+01  5.288272e-01   3.29e-02  
305      -1.594710e+01  -1.589586e+01  5.124598e-02   3.21e-03  
306      -1.524774e+01  -1.521567e+01  3.206751e-02   2.10e-03  
307      -1.419482e+01  -1.421215e+01  1.732972e-02   1.22e-03  
308      -1.297898e+01  -1.294340e+01  3.557970e-02   2.74e-03  
309      -1.175681e+01  -1.177159e+01  1.478361e-02   1.26e-03  
310      -1.063927e+01  -1.063953e+01  2.670467e-04   2.51e-05  
311      -9.689882e+00  -9.679656e+00  1.022648e-02   1.06e-03  
312      -8.931399e+00  -8.930263e+00  1.136124e-03   1.27e-04  
313      -8.357371e+00  -8.358102e+00  7.305498e-04   8.74e-05  
314      -7.944532e+00  -7.957407e+00  1.287570e-02   1.62e-03  
315      -7.662711e+00  -7.714469e+00  5.175756e-02   6.75e-03  
316      -7.481066e+00  -7.491268e+00  1.020127e-02   1.36e-03  
317      -7.371046e+00  -7.369419e+00  1.626679e-03   2.21e-04  
318      -7.307181e+00  -7.296574e+00  1.060685e-02   1.45e-03  
319      -7.266718e+00  -7.279119e+00  1.240083e-02   1.71e-03  
320      -7.228755e+00  -7.260393e+00  3.163747e-02   4.38e-03  
321      -7.173274e+00  -7.171002e+00  2.271931e-03   3.17e-04  
322      -7.080325e+00  -7.075771e+00  4.554526e-03   6.43e-04  
323      -6.929566e+00  -6.885271e+00  4.429501e-02   6.39e-03  
324      -6.700350e+00  -6.713031e+00  1.268124e-02   1.89e-03  
325      -6.372510e+00  -6.376125e+00  3.615485e-03   5.67e-04  
326      -5.927905e+00  -5.925453e+00  2.452391e-03   4.14e-04  
327      -5.352626e+00  -5.363172e+00  1.054604e-02   1.97e-03  
328      -4.639609e+00  -4.664682e+00  2.507259e-02   5.40e-03  
329      -3.791287e+00  -3.808475e+00  1.718714e-02   4.53e-03  
330      -2.821884e+00  -2.843542e+00  2.165882e-02   7.68e-03  
331      -1.759034e+00  -1.788967e+00  2.993266e-02   1.70e-02  
332      -6.445134e-01  -6.573846e-01  1.287114e-02   2.00e-02  
333      4.661694e-01   4.457488e-01   2.042061e-02   4.38e-02  
334      1.505747e+00   1.478686e+00   2.706136e-02   1.80e-02  
335      2.399535e+00   2.415340e+00   1.580449e-02   6.59e-03  
336      3.072975e+00   3.080950e+00   7.974584e-03   2.60e-03  
337      3.462419e+00   3.483683e+00   2.126432e-02   6.14e-03  
338      3.527514e+00   3.539057e+00   1.154278e-02   3.27e-03  
339      3.261885e+00   3.272196e+00   1.031127e-02   3.16e-03  
340      2.698508e+00   2.711449e+00   1.294164e-02   4.80e-03  
341      1.907869e+00   1.913608e+00   5.739065e-03   3.01e-03  
342      9.900772e-01   9.767464e-01   1.333085e-02   1.35e-02  
343      6.503274e-02   5.495895e-02   1.007379e-02   1.55e-01  
