Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
1        -1.067253e-01  -7.033509e-02  3.639023e-02   3.41e-01  
2        -1.078633e-01  -8.515644e-02  2.270683e-02   2.11e-01  
3        -1.088127e-01  -9.926566e-02  9.547030e-03   8.77e-02  
4        -1.094756e-01  -9.018663e-02  1.928897e-02   1.76e-01  
5        -1.078271e-01  -8.906682e-02  1.876026e-02   1.74e-01  
6        -1.026890e-01  -8.724896e-02  1.544001e-02   1.50e-01  
7        -9.423723e-02  -7.753965e-02  1.669757e-02   1.77e-01  
8        -8.321008e-02  -7.194490e-02  1.126519e-02   1.35e-01  
9        -7.087709e-02  -6.049390e-02  1.038319e-02   1.46e-01  
10       -5.904228e-02  -5.479524e-02  4.247045e-03   7.19e-02  
11       -5.013545e-02  -4.596700e-02  4.168454e-03   8.31e-02  
12       -4.742956e-02  -4.676394e-02  6.656209e-04   1.40e-02  
13       -5.536153e-02  -4.827825e-02  7.083273e-03   1.28e-01  
14       -7.987076e-02  -6.565119e-02  1.421957e-02   1.78e-01  
15       -1.286360e-01  -1.055746e-01  2.306136e-02   1.79e-01  
16       -2.110984e-01  -1.674525e-01  4.364592e-02   2.07e-01  
17       -3.382020e-01  -2.687145e-01  6.948751e-02   2.05e-01  
18       -5.218314e-01  -4.146209e-01  1.072105e-01   2.05e-01  
19       -7.739736e-01  -6.164121e-01  1.575615e-01   2.04e-01  
20       -1.105656e+00  -8.808731e-01  2.247830e-01   2.03e-01  
21       -1.525731e+00  -1.219523e+00  3.062082e-01   2.01e-01  
22       -2.039595e+00  -1.636109e+00  4.034855e-01   1.98e-01  
23       -2.647963e+00  -2.126572e+00  5.213907e-01   1.97e-01  
24       -3.345831e+00  -2.694944e+00  6.508876e-01   1.95e-01  
25       -4.121773e+00  -3.335437e+00  7.863361e-01   1.91e-01  
26       -4.957689e+00  -4.021848e+00  9.358409e-01   1.89e-01  
27       -5.829092e+00  -4.742775e+00  1.086317e+00   1.86e-01  
