Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
1        -8.483930e-01  -5.795309e-01  2.688620e-01   3.17e-01  
2        -8.444793e-01  -7.085880e-01  1.358913e-01   1.61e-01  
3        -8.515745e-01  -8.111631e-01  4.041137e-02   4.75e-02  
4        -8.618726e-01  -7.272292e-01  1.346433e-01   1.56e-01  
5        -8.863074e-01  -7.261763e-01  1.601311e-01   1.81e-01  
6        -9.014407e-01  -7.350034e-01  1.664374e-01   1.85e-01  
7        -8.966442e-01  -7.302037e-01  1.664404e-01   1.86e-01  
8        -8.651931e-01  -6.984510e-01  1.667421e-01   1.93e-01  
9        -8.033273e-01  -6.437399e-01  1.595874e-01   1.99e-01  
10       -7.106540e-01  -5.627767e-01  1.478773e-01   2.08e-01  
11       -5.913247e-01  -4.583474e-01  1.329773e-01   2.25e-01  
12       -4.559385e-01  -3.417592e-01  1.141793e-01   2.50e-01  
13       -3.239760e-01  -2.302013e-01  9.377468e-02   2.89e-01  
14       -2.263356e-01  -1.456108e-01  8.072477e-02   3.57e-01  
15       -2.074052e-01  -1.340825e-01  7.332271e-02   3.54e-01  
16       -3.261221e-01  -2.365784e-01  8.954369e-02   2.75e-01  
17       -6.556332e-01  -5.271402e-01  1.284931e-01   1.96e-01  
18       -1.281362e+00  -1.065604e+00  2.157581e-01   1.68e-01  
19       -2.297427e+00  -1.935795e+00  3.616328e-01   1.57e-01  
20       -3.801427e+00  -3.222483e+00  5.789438e-01   1.52e-01  
21       -5.887637e+00  -4.995836e+00  8.918008e-01   1.51e-01  
22       -8.638795e+00  -7.330317e+00  1.308478e+00   1.51e-01  
23       -1.211686e+01  -1.027258e+01  1.844276e+00   1.52e-01  
24       -1.635342e+01  -1.385078e+01  2.502640e+00   1.53e-01  
25       -2.134082e+01  -1.805546e+01  3.285363e+00   1.54e-01  
26       -2.702505e+01  -2.283930e+01  4.185745e+00   1.55e-01  
27       -3.330157e+01  -2.811218e+01  5.189387e+00   1.56e-01  
28       -4.001489e+01  -3.374673e+01  6.268158e+00   1.57e-01  
29       -4.696217e+01  -3.957189e+01  7.390283e+00   1.57e-01  
30       -5.390054e+01  -4.538302e+01  8.517520e+00   1.58e-01  
31       -6.055762e+01  -5.095853e+01  9.599091e+00   1.59e-01  
32       -6.664408e+01  -5.605098e+01  1.059309e+01   1.59e-01  
33       -7.186761e+01  -6.042847e+01  1.143915e+01   1.59e-01  
34       -7.594758e+01  -6.384351e+01  1.210407e+01   1.59e-01  
35       -7.863033e+01  -6.609627e+01  1.253406e+01   1.59e-01  
36       -7.970566e+01  -6.700743e+01  1.269823e+01   1.59e-01  
37       -7.902468e+01  -6.644466e+01  1.258002e+01   1.59e-01  
38       -7.651919e+01  -6.434466e+01  1.217453e+01   1.59e-01  
39       -7.222096e+01  -6.073441e+01  1.148655e+01   1.59e-01  
40       -6.627773e+01  -5.572711e+01  1.055062e+01   1.59e-01  
41       -5.896093e+01  -4.954259e+01  9.418338e+00   1.60e-01  
42       -5.065932e+01  -4.250392e+01  8.155399e+00   1.61e-01  
43       -4.185428e+01  -3.501240e+01  6.841880e+00   1.63e-01  
44       -3.307548e+01  -2.753166e+01  5.543821e+00   1.68e-01  
45       -2.484113e+01  -2.051360e+01  4.327529e+00   1.74e-01  
46       -1.759332e+01  -1.435192e+01  3.241394e+00   1.84e-01  
47       -1.164630e+01  -9.400255e+00  2.246045e+00   1.93e-01  
48       -7.167146e+00  -5.784544e+00  1.382602e+00   1.93e-01  
49       -4.761396e+00  -3.215712e+00  1.545683e+00   3.25e-01  
50       -3.131703e+00  -1.638233e+00  1.493469e+00   4.77e-01  
51       -7.683314e-01  -6.542239e-01  1.141075e-01   1.49e-01  
52       -7.778823e-01  -8.185862e-01  4.070390e-02   5.23e-02  
53       -7.930065e-01  -9.434082e-01  1.504017e-01   1.90e-01  
54       -8.156823e-01  -8.660140e-01  5.033176e-02   6.17e-02  
55       -8.449046e-01  -8.657948e-01  2.089024e-02   2.47e-02  
56       -8.635832e-01  -8.832021e-01  1.961887e-02   2.27e-02  
57       -8.636491e-01  -8.805625e-01  1.691343e-02   1.96e-02  
58       -8.397071e-01  -8.497341e-01  1.002696e-02   1.19e-02  
59       -7.883827e-01  -7.940891e-01  5.706487e-03   7.24e-03  
60       -7.087354e-01  -7.034787e-01  5.256662e-03   7.42e-03  
61       -6.033261e-01  -5.910904e-01  1.223571e-02   2.03e-02  
62       -4.799060e-01  -4.573999e-01  2.250614e-02   4.69e-02  
63       -3.535729e-01  -3.265218e-01  2.705116e-02   7.65e-02  
64       -2.490593e-01  -2.182610e-01  3.079828e-02   1.24e-01  
65       -2.027056e-01  -1.763972e-01  2.630839e-02   1.30e-01  
66       -2.636845e-01  -2.600793e-01  3.605136e-03   1.37e-02  
67       -4.941452e-01  -5.280053e-01  3.386012e-02   6.85e-02  
68       -9.680680e-01  -1.066586e+00  9.851783e-02   1.02e-01  
69       -1.768689e+00  -1.954929e+00  1.862402e-01   1.05e-01  
70       -2.984375e+00  -3.294139e+00  3.097642e-01   1.04e-01  
71       -4.702864e+00  -5.174460e+00  4.715955e-01   1.00e-01  
72       -7.003906e+00  -7.677066e+00  6.731599e-01   9.61e-02  
73       -9.950590e+00  -1.086690e+01  9.163082e-01   9.21e-02  
74       -1.358002e+01  -1.477624e+01  1.196216e+00   8.81e-02  
75       -1.789433e+01  -1.940689e+01  1.512562e+00   8.45e-02  
76       -2.285320e+01  -2.471165e+01  1.858452e+00   8.13e-02  
77       -2.836919e+01  -3.058914e+01  2.219952e+00   7.83e-02  
78       -3.430658e+01  -3.690810e+01  2.601523e+00   7.58e-02  
79       -4.048437e+01  -4.346643e+01  2.982062e+00   7.37e-02  
80       -4.668304e+01  -5.003664e+01  3.353596e+00   7.18e-02  
81       -5.265465e+01  -5.635422e+01  3.699573e+00   7.03e-02  
82       -5.813518e+01  -6.215226e+01  4.017079e+00   6.91e-02  
83       -6.285837e+01  -6.714157e+01  4.283202e+00   6.81e-02  
84       -6.657035e+01  -7.106039e+01  4.490036e+00   6.74e-02  
85       -6.904488e+01  -7.366824e+01  4.623363e+00   6.70e-02  
86       -7.009918e+01  -7.476754e+01  4.668352e+00   6.66e-02  
87       -6.961056e+01  -7.423232e+01  4.621754e+00   6.64e-02  
88       -6.753298e+01  -7.199010e+01  4.457123e+00   6.60e-02  
89       -6.391186e+01  -6.809058e+01  4.178729e+00   6.54e-02  
90       -5.889379e+01  -6.267996e+01  3.786169e+00   6.43e-02  
91       -5.272700e+01  -5.600614e+01  3.279146e+00   6.22e-02  
92       -4.574869e+01  -4.843020e+01  2.681512e+00   5.86e-02  
93       -3.835783e+01  -4.038807e+01  2.030244e+00   5.29e-02  
94       -3.097530e+01  -3.234679e+01  1.371493e+00   4.43e-02  
95       -2.399858e+01  -2.475751e+01  7.589296e-01   3.16e-02  
96       -1.776310e+01  -1.801541e+01  2.523154e-01   1.42e-02  
97       -1.252535e+01  -1.255474e+01  2.939363e-02   2.35e-03  
98       -8.484799e+00  -8.605625e+00  1.208259e-01   1.42e-02  
99       -6.265112e+00  -5.382455e+00  8.826575e-01   1.41e-01  
100      -4.710280e+00  -3.175473e+00  1.534807e+00   3.26e-01  
101      -6.813947e-01  -6.606874e-01  2.070729e-02   3.04e-02  
102      -7.002762e-01  -8.453205e-01  1.450443e-01   2.07e-01  
103      -7.229541e-01  -9.815813e-01  2.586271e-01   3.58e-01  
104      -7.568088e-01  -9.192738e-01  1.624650e-01   2.15e-01  
105      -7.915871e-01  -9.305372e-01  1.389502e-01   1.76e-01  
106      -8.144269e-01  -9.532569e-01  1.388300e-01   1.70e-01  
107      -8.189763e-01  -9.542919e-01  1.353156e-01   1.65e-01  
108      -8.008580e-01  -9.307171e-01  1.298591e-01   1.62e-01  
109      -7.570524e-01  -8.731020e-01  1.160496e-01   1.53e-01  
110      -6.861802e-01  -7.874053e-01  1.012251e-01   1.48e-01  
111      -5.893644e-01  -6.660430e-01  7.667859e-02   1.30e-01  
112      -4.716287e-01  -5.238819e-01  5.225316e-02   1.11e-01  
113      -3.437133e-01  -3.704431e-01  2.672977e-02   7.78e-02  
114      -2.240655e-01  -2.352447e-01  1.117914e-02   4.99e-02  
115      -1.406851e-01  -1.516321e-01  1.094701e-02   7.78e-02  
116      -1.325048e-01  -1.673300e-01  3.482519e-02   2.63e-01  
117      -2.500425e-01  -3.516770e-01  1.016346e-01   4.06e-01  
118      -5.551065e-01  -7.771112e-01  2.220046e-01   4.00e-01  
119      -1.119335e+00  -1.526949e+00  4.076139e-01   3.64e-01  
120      -2.021316e+00  -2.704812e+00  6.834963e-01   3.38e-01  
121      -3.342026e+00  -4.403468e+00  1.061442e+00   3.18e-01  
122      -5.158479e+00  -6.710029e+00  1.551550e+00   3.01e-01  
123      -7.535706e+00  -9.705373e+00  2.169667e+00   2.88e-01  
124      -1.051768e+01  -1.343024e+01  2.912568e+00   2.77e-01  
125      -1.411810e+01  -1.790163e+01  3.783531e+00   2.68e-01  
126      -1.831248e+01  -2.308203e+01  4.769556e+00   2.60e-01  
127      -2.303260e+01  -2.888871e+01  5.856115e+00   2.54e-01  
128      -2.816470e+01  -3.517268e+01  7.007981e+00   2.49e-01  
129      -3.355171e+01  -4.174777e+01  8.196057e+00   2.44e-01  
130      -3.899957e+01  -4.837881e+01  9.379239e+00   2.40e-01  
131      -4.428699e+01  -5.479975e+01  1.051275e+01   2.37e-01  
132      -4.917767e+01  -6.072419e+01  1.154652e+01   2.35e-01  
133      -5.343396e+01  -6.586949e+01  1.243553e+01   2.33e-01  
134      -5.683127e+01  -6.996040e+01  1.312913e+01   2.31e-01  
135      -5.917266e+01  -7.276427e+01  1.359161e+01   2.30e-01  
136      -6.030339e+01  -7.408417e+01  1.378078e+01   2.29e-01  
137      -6.012515e+01  -7.379112e+01  1.366597e+01   2.27e-01  
138      -5.860894e+01  -7.184815e+01  1.323922e+01   2.26e-01  
139      -5.580461e+01  -6.829816e+01  1.249354e+01   2.24e-01  
140      -5.184450e+01  -6.330193e+01  1.145743e+01   2.21e-01  
141      -4.693805e+01  -5.710633e+01  1.016827e+01   2.17e-01  
142      -4.135624e+01  -5.004276e+01  8.686522e+00   2.10e-01  
143      -3.540643e+01  -4.251389e+01  7.107465e+00   2.01e-01  
144      -2.940237e+01  -3.491915e+01  5.516780e+00   1.88e-01  
145      -2.363748e+01  -2.766857e+01  4.031086e+00   1.71e-01  
146      -1.837230e+01  -2.110652e+01  2.734223e+00   1.49e-01  
147      -1.384822e+01  -1.578282e+01  1.934593e+00   1.40e-01  
148      -1.033975e+01  -1.219794e+01  1.858190e+00   1.80e-01  
149      -8.380947e+00  -8.490228e+00  1.092813e-01   1.30e-02  
150      -7.003895e+00  -5.645433e+00  1.358462e+00   1.94e-01  
151      -5.395690e-01  -4.503713e-01  8.919770e-02   1.65e-01  
152      -5.707082e-01  -5.928785e-01  2.217029e-02   3.88e-02  
153      -6.038619e-01  -7.124861e-01  1.086242e-01   1.80e-01  
154      -6.562493e-01  -7.081076e-01  5.185828e-02   7.90e-02  
155      -6.994908e-01  -7.312246e-01  3.173380e-02   4.54e-02  
156      -7.292020e-01  -7.625563e-01  3.335429e-02   4.57e-02  
157      -7.416983e-01  -7.726894e-01  3.099114e-02   4.18e-02  
